"GitHub ID","Команда","Статус","Трек","SHA","Файлов в снимке","GitHub"
"1371393474","Umizumi","discovered","","","0","https://github.com/BAITC-Hacks/hack-cafccc6a-umizumi"
"1375676318","Unanimous","discovered","","","0","https://github.com/BAITC-Hacks/hack-8f1bcef2-unanimous"
"1375760127","Undefined","discovered","","","0","https://github.com/BAITC-Hacks/hack-47277bdb-undefined"
"1353957938","UNECom","discovered","","","0","https://github.com/BAITC-Hacks/hack-9658fc18-unecom"
"1364386724","UnemdeAI","discovered","","","0","https://github.com/BAITC-Hacks/hack-b128c06c-unemdeai"
"1361678022","Unemployed","discovered","","","0","https://github.com/BAITC-Hacks/hack-420e0b65-unemployed"
"1381678674","unerr","discovered","","","0","https://github.com/BAITC-Hacks/hack-66c21739-unerr"
"1350859015","UniFlow AI","discovered","","","0","https://github.com/BAITC-Hacks/hack-baec897e-uniflow-ai"
"1369624482","Uniqore.ai","discovered","","","0","https://github.com/BAITC-Hacks/hack-9fee8947-uniqore-ai"
"1379818164","Uniqore.AI","ready","","8b5618ca13dc01796813b192f15733ce365ba3fb","9","https://github.com/BAITC-Hacks/hack-28dae579-uniqore-ai"
"1371815957","Uniqs","discovered","","","0","https://github.com/BAITC-Hacks/hack-88197554-uniqs"
"1370249805","Unity","discovered","","","0","https://github.com/BAITC-Hacks/hack-803a65ad-unity"
"1371381281","Unity","discovered","","","0","https://github.com/BAITC-Hacks/hack-ebb03a97-unity"
"1379839734","Unity","discovered","","","0","https://github.com/BAITC-Hacks/hack-4d80b8af-unity"
"1381697102","unreal-kz","discovered","","","0","https://github.com/BAITC-Hacks/hack-b08614e5-unreal-kz"
"1373078986","UNRU AI","discovered","","","0","https://github.com/BAITC-Hacks/hack-c41412b2-unru-ai"
"1381746565","unstppbl","discovered","","","0","https://github.com/BAITC-Hacks/hack-fd77cf23-unstppbl"
"1379486450","Unsullied","ready","","57f38da121d530e4c7b5f756d3a673b1961478f0","1","https://github.com/BAITC-Hacks/hack-070f07c3-unsullied"
